Subcellular.Location	Entry	Gene.Name	Protein.Names
TM.protein	P17861	XBP1	XBP1_HUMAN
TM.protein	Q6IEE8	SLFN12L	SN12L_HUMAN
TM.protein	Q8WWF3	SSMEM1	SSMM1_HUMAN
TM.protein	Q9NX95	SYBU	SYBU_HUMAN
TM.protein	Q6PIZ9	TRAT1	TRAT1_HUMAN
TM.protein	Q70CQ3	USP30	UBP30_HUMAN
TM.protein	O75379	VAMP4	VAMP4_HUMAN
TM.protein	Q6UW78	UQCC3	UQCC3_HUMAN
TM.protein	Q9H354		YJ001_HUMAN
TM.protein	Q02127	DHODH	PYRD_HUMAN
TM.protein	Q6P9G4	TMEM154	TM154_HUMAN
TM.protein	Q9C0B7	TANGO6	TNG6_HUMAN
TM.protein	O60858	TRIM13	TRI13_HUMAN
TM.protein	Q9P0L0	VAPA	VAPA_HUMAN
TM.protein	Q9UEU0	VTI1B	VTI1B_HUMAN
TM.protein	Q86Y07	VRK2	VRK2_HUMAN
TM.protein	Q7Z3J2	VPS35L	VP35L_HUMAN
TM.protein	Q6UWW9	TMEM207	TM207_HUMAN
TM.protein	Q9NZ43	USE1	USE1_HUMAN
TM.protein	Q96AW1	VOPP1	VOPP1_HUMAN
TM.protein	Q5T8D3	ACBD5	ACBD5_HUMAN
TM.protein	Q12983	BNIP3	BNIP3_HUMAN
TM.protein	P26439	HSD3B2	3BHS2_HUMAN
TM.protein	Q9UKU0	ACSL6	ACSL6_HUMAN
TM.protein	Q9ULC5	ACSL5	ACSL5_HUMAN
TM.protein	Q96F25	ALG14	ALG14_HUMAN
TM.protein	A4D256	CDC14C	CC14C_HUMAN
TM.protein	Q3KR37	GRAMD1B	ASTRB_HUMAN
TM.protein	Q96N68	C18orf15	CR015_HUMAN
TM.protein	Q6ZS62	COLCA1	COLC1_HUMAN
TM.protein	Q5TAT6	COL13A1	CODA1_HUMAN
TM.protein	Q96KJ9	COX4I2	COX42_HUMAN
TM.protein	P10176	COX8A	COX8A_HUMAN
TM.protein	Q16611	BAK1	BAK_HUMAN
TM.protein	P00167	CYB5A	CYB5_HUMAN
TM.protein	H7C350	CCDC188	CC188_HUMAN
TM.protein	Q13948	CUX1	CASP_HUMAN
TM.protein	Q9BXU9	CALN1	CABP8_HUMAN
TM.protein	Q5VUD6	DIPK1B	DIK1B_HUMAN
TM.protein	Q8N111	CEND1	CEND_HUMAN
TM.protein	P98187	CYP4F8	CP4F8_HUMAN
TM.protein	Q8NEA5	C19orf18	CS018_HUMAN
TM.protein	Q9H553	ALG2	ALG2_HUMAN
TM.protein	P54710	FXYD2	ATNG_HUMAN
TM.protein	Q96GL9	FAM163A	F163A_HUMAN
TM.protein	P61550	ERVS71-1	ENVT1_HUMAN
TM.protein	A4D1S0	KLRG2	KLRG2_HUMAN
TM.protein	Q96JJ6	JPH4	JPH4_HUMAN
TM.protein	Q8NBR0	TP53I13	P5I13_HUMAN
TM.protein	P14060	HSD3B1	3BHS1_HUMAN
TM.protein	Q9UH62	ARMCX3	ARMX3_HUMAN
TM.protein	P56134	ATP5MF	ATPK_HUMAN
TM.protein	Q6V0L0	CYP26C1	CP26C_HUMAN
TM.protein	Q9BXS0	COL25A1	COPA1_HUMAN
TM.protein	Q8NHY0	B4GALNT2	B4GN2_HUMAN
TM.protein	Q16850	CYP51A1	CP51A_HUMAN
TM.protein	P15954	COX7C	COX7C_HUMAN
TM.protein	P0C2S0	CTXN2	CTXN2_HUMAN
TM.protein	B0L3A2	FBXW7-AS1	DESPR_HUMAN
TM.protein	O42043	ERVK-18	ENK18_HUMAN
TM.protein	Q2WGJ9	FER1L6	FR1L6_HUMAN
TM.protein	Q8WWP7	GIMAP1	GIMA1_HUMAN
TM.protein	Q7Z695	ADCK2	ADCK2_HUMAN
TM.protein	A8MZ97	C2orf74	CB074_HUMAN
TM.protein	Q07065	CKAP4	CKAP4_HUMAN
TM.protein	Q96JQ2	CLMN	CLMN_HUMAN
